Algoritmo,Versao,Threads,Tamanho,Tipo,Amostra,Tempo_ms
Selection,Serial,1,1000,Reverso,1,0.5697
Selection,Paralelo,1,1000,Reverso,1,0.9196
Selection,Paralelo,2,1000,Reverso,1,0.565
Selection,Paralelo,4,1000,Reverso,1,0.9227
Selection,Paralelo,8,1000,Reverso,1,2.4431
Insertion,Serial,1,1000,Reverso,1,0.8966
Insertion,Paralelo,1,1000,Reverso,1,1.3257
Insertion,Paralelo,2,1000,Reverso,1,3.9281
Insertion,Paralelo,4,1000,Reverso,1,1.1412
Insertion,Paralelo,8,1000,Reverso,1,1.5725
Merge,Serial,1,1000,Reverso,1,0.1475
Merge,Paralelo,1,1000,Reverso,1,0.4565
Merge,Paralelo,2,1000,Reverso,1,1.9738
Merge,Paralelo,4,1000,Reverso,1,0.8341
Merge,Paralelo,8,1000,Reverso,1,0.9992
Bubble,Serial,1,1000,Reverso,2,0.5707
Bubble,Paralelo,1,1000,Reverso,2,0.9441
Bubble,Paralelo,2,1000,Reverso,2,0.688
Bubble,Paralelo,4,1000,Reverso,2,7.6506
Bubble,Paralelo,8,1000,Reverso,2,3.2738
Selection,Serial,1,1000,Reverso,2,0.5941
Selection,Paralelo,1,1000,Reverso,2,1.1077
Selection,Paralelo,2,1000,Reverso,2,0.5811
Selection,Paralelo,4,1000,Reverso,2,0.6372
Selection,Paralelo,8,1000,Reverso,2,1.0614
Insertion,Serial,1,1000,Reverso,2,2.5533
Insertion,Paralelo,1,1000,Reverso,2,1.794
Insertion,Paralelo,2,1000,Reverso,2,0.8353
Insertion,Paralelo,4,1000,Reverso,2,0.8846
Insertion,Paralelo,8,1000,Reverso,2,1.5321
Merge,Serial,1,1000,Reverso,2,0.1087
Merge,Paralelo,1,1000,Reverso,2,1.6996
Merge,Paralelo,2,1000,Reverso,2,0.9967
Merge,Paralelo,4,1000,Reverso,2,0.7087
Merge,Paralelo,8,1000,Reverso,2,1.1503
Bubble,Serial,1,1000,Reverso,3,0.5796
Bubble,Paralelo,1,1000,Reverso,3,1.0007
Bubble,Paralelo,2,1000,Reverso,3,3.2962
Bubble,Paralelo,4,1000,Reverso,3,1.3825
Bubble,Paralelo,8,1000,Reverso,3,1.8097
Selection,Serial,1,1000,Reverso,3,0.9447
Selection,Paralelo,1,1000,Reverso,3,0.9816
Selection,Paralelo,2,1000,Reverso,3,3.2296
Selection,Paralelo,4,1000,Reverso,3,1.1078
Selection,Paralelo,8,1000,Reverso,3,3.0928
Insertion,Serial,1,1000,Reverso,3,1.1935
Insertion,Paralelo,1,1000,Reverso,3,1.6117
Insertion,Paralelo,2,1000,Reverso,3,0.6932
Insertion,Paralelo,4,1000,Reverso,3,0.9242
Insertion,Paralelo,8,1000,Reverso,3,3.5341
Merge,Serial,1,1000,Reverso,3,0.124
Merge,Paralelo,1,1000,Reverso,3,0.5226
Merge,Paralelo,2,1000,Reverso,3,0.558
Merge,Paralelo,4,1000,Reverso,3,0.922
Merge,Paralelo,8,1000,Reverso,3,5.8076
Bubble,Serial,1,1000,Reverso,4,0.553
Bubble,Paralelo,1,1000,Reverso,4,1.7692
Bubble,Paralelo,2,1000,Reverso,4,1.1795
Bubble,Paralelo,4,1000,Reverso,4,0.8496
Bubble,Paralelo,8,1000,Reverso,4,1.1351
Selection,Serial,1,1000,Reverso,4,2.5009
Selection,Paralelo,1,1000,Reverso,4,3.0956
Selection,Paralelo,2,1000,Reverso,4,0.5705
Selection,Paralelo,4,1000,Reverso,4,0.7279
Selection,Paralelo,8,1000,Reverso,4,1.1827
Insertion,Serial,1,1000,Reverso,4,0.6317
Insertion,Paralelo,1,1000,Reverso,4,1.0273
Insertion,Paralelo,2,1000,Reverso,4,1.289
Insertion,Paralelo,4,1000,Reverso,4,0.7402
Insertion,Paralelo,8,1000,Reverso,4,1.1109
Merge,Serial,1,1000,Reverso,4,0.0849
Merge,Paralelo,1,1000,Reverso,4,0.5038
Merge,Paralelo,2,1000,Reverso,4,0.4693
Merge,Paralelo,4,1000,Reverso,4,5.2891
Merge,Paralelo,8,1000,Reverso,4,1.9621
Bubble,Serial,1,1000,Reverso,5,0.8108
Bubble,Paralelo,1,1000,Reverso,5,1.2416
Bubble,Paralelo,2,1000,Reverso,5,0.7839
Bubble,Paralelo,4,1000,Reverso,5,2.7213
Bubble,Paralelo,8,1000,Reverso,5,14.8921
Selection,Serial,1,1000,Reverso,5,0.8029
Selection,Paralelo,1,1000,Reverso,5,0.8545
Selection,Paralelo,2,1000,Reverso,5,4.5393
Selection,Paralelo,4,1000,Reverso,5,1.606
Selection,Paralelo,8,1000,Reverso,5,2.0405
Insertion,Serial,1,1000,Reverso,5,1.0142
Insertion,Paralelo,1,1000,Reverso,5,1.0854
Insertion,Paralelo,2,1000,Reverso,5,4.6497
Insertion,Paralelo,4,1000,Reverso,5,3.8653
Insertion,Paralelo,8,1000,Reverso,5,1.4956
Merge,Serial,1,1000,Reverso,5,0.1511
Merge,Paralelo,1,1000,Reverso,5,3.3373
Merge,Paralelo,2,1000,Reverso,5,1.7957
Merge,Paralelo,4,1000,Reverso,5,1.3654
Merge,Paralelo,8,1000,Reverso,5,1.4882
Bubble,Serial,1,5000,Aleatorio,1,43.0754
Bubble,Paralelo,1,5000,Aleatorio,1,51.8573
Bubble,Paralelo,2,5000,Aleatorio,1,15.3937
Bubble,Paralelo,4,5000,Aleatorio,1,9.0449
Bubble,Paralelo,8,5000,Aleatorio,1,8.1276
Selection,Serial,1,5000,Aleatorio,1,13.2428
Selection,Paralelo,1,5000,Aleatorio,1,13.9204
Selection,Paralelo,2,5000,Aleatorio,1,6.6753
Selection,Paralelo,4,5000,Aleatorio,1,7.7991
Selection,Paralelo,8,5000,Aleatorio,1,2.6954
Insertion,Serial,1,5000,Aleatorio,1,8.0577
Insertion,Paralelo,1,5000,Aleatorio,1,13.1853
Insertion,Paralelo,2,5000,Aleatorio,1,9.0441
Insertion,Paralelo,4,5000,Aleatorio,1,2.7183
Insertion,Paralelo,8,5000,Aleatorio,1,3.3613
Merge,Serial,1,5000,Aleatorio,1,0.9165
Merge,Paralelo,1,5000,Aleatorio,1,1.31
Merge,Paralelo,2,5000,Aleatorio,1,1.4836
Merge,Paralelo,4,5000,Aleatorio,1,7.158
Merge,Paralelo,8,5000,Aleatorio,1,2.7576
Bubble,Serial,1,5000,Aleatorio,2,40.1733
Bubble,Paralelo,1,5000,Aleatorio,2,28.2453
Bubble,Paralelo,2,5000,Aleatorio,2,11.3226
Bubble,Paralelo,4,5000,Aleatorio,2,4.0985
Bubble,Paralelo,8,5000,Aleatorio,2,3.3512
Selection,Serial,1,5000,Aleatorio,2,9.2136
Selection,Paralelo,1,5000,Aleatorio,2,11.8459
Selection,Paralelo,2,5000,Aleatorio,2,3.1287
Selection,Paralelo,4,5000,Aleatorio,2,2.2952
Selection,Paralelo,8,5000,Aleatorio,2,6.7506
Insertion,Serial,1,5000,Aleatorio,2,12.5384
Insertion,Paralelo,1,5000,Aleatorio,2,10.163
Insertion,Paralelo,2,5000,Aleatorio,2,3.4151
Insertion,Paralelo,4,5000,Aleatorio,2,5.0633
Insertion,Paralelo,8,5000,Aleatorio,2,1.8181
Merge,Serial,1,5000,Aleatorio,2,0.7678
Merge,Paralelo,1,5000,Aleatorio,2,1.1052
Merge,Paralelo,2,5000,Aleatorio,2,0.8868
Merge,Paralelo,4,5000,Aleatorio,2,1.987
Merge,Paralelo,8,5000,Aleatorio,2,2.4607
Bubble,Serial,1,5000,Aleatorio,3,39.9042
Bubble,Paralelo,1,5000,Aleatorio,3,31.4669
Bubble,Paralelo,2,5000,Aleatorio,3,9.0699
Bubble,Paralelo,4,5000,Aleatorio,3,3.3833
Bubble,Paralelo,8,5000,Aleatorio,3,5.1862
Selection,Serial,1,5000,Aleatorio,3,7.8456
Selection,Paralelo,1,5000,Aleatorio,3,9.5506
Selection,Paralelo,2,5000,Aleatorio,3,2.6925
Selection,Paralelo,4,5000,Aleatorio,3,3.3317
Selection,Paralelo,8,5000,Aleatorio,3,1.8201
Insertion,Serial,1,5000,Aleatorio,3,10.8623
Insertion,Paralelo,1,5000,Aleatorio,3,9.917
Insertion,Paralelo,2,5000,Aleatorio,3,2.2293
Insertion,Paralelo,4,5000,Aleatorio,3,1.4179
Insertion,Paralelo,8,5000,Aleatorio,3,1.7387
Merge,Serial,1,5000,Aleatorio,3,0.9503
Merge,Paralelo,1,5000,Aleatorio,3,1.1533
Merge,Paralelo,2,5000,Aleatorio,3,0.7602
Merge,Paralelo,4,5000,Aleatorio,3,0.793
Merge,Paralelo,8,5000,Aleatorio,3,1.1802
Bubble,Serial,1,5000,Aleatorio,4,29.8311
Bubble,Paralelo,1,5000,Aleatorio,4,27.2804
Bubble,Paralelo,2,5000,Aleatorio,4,9.3321
Bubble,Paralelo,4,5000,Aleatorio,4,3.811
Bubble,Paralelo,8,5000,Aleatorio,4,2.353
Selection,Serial,1,5000,Aleatorio,4,7.1058
Selection,Paralelo,1,5000,Aleatorio,4,10.6725
Selection,Paralelo,2,5000,Aleatorio,4,3.8939
Selection,Paralelo,4,5000,Aleatorio,4,1.5703
Selection,Paralelo,8,5000,Aleatorio,4,4.5134
Insertion,Serial,1,5000,Aleatorio,4,6.7501
Insertion,Paralelo,1,5000,Aleatorio,4,8.2381
Insertion,Paralelo,2,5000,Aleatorio,4,2.9827
Insertion,Paralelo,4,5000,Aleatorio,4,2.5367
Insertion,Paralelo,8,5000,Aleatorio,4,1.7281
Merge,Serial,1,5000,Aleatorio,4,0.7594
Merge,Paralelo,1,5000,Aleatorio,4,0.9996
Merge,Paralelo,2,5000,Aleatorio,4,0.8254
Merge,Paralelo,4,5000,Aleatorio,4,1.2532
Merge,Paralelo,8,5000,Aleatorio,4,3.6013
Bubble,Serial,1,5000,Aleatorio,5,29.7374
Bubble,Paralelo,1,5000,Aleatorio,5,28.5167
Bubble,Paralelo,2,5000,Aleatorio,5,10.1369
Bubble,Paralelo,4,5000,Aleatorio,5,5.0909
Bubble,Paralelo,8,5000,Aleatorio,5,2.6728
Selection,Serial,1,5000,Aleatorio,5,9.2592
Selection,Paralelo,1,5000,Aleatorio,5,7.7162
Selection,Paralelo,2,5000,Aleatorio,5,5.5415
Selection,Paralelo,4,5000,Aleatorio,5,2.2236
Selection,Paralelo,8,5000,Aleatorio,5,2.8314
Insertion,Serial,1,5000,Aleatorio,5,5.9657
Insertion,Paralelo,1,5000,Aleatorio,5,9.3171
Insertion,Paralelo,2,5000,Aleatorio,5,2.6478
Insertion,Paralelo,4,5000,Aleatorio,5,1.3348
Insertion,Paralelo,8,5000,Aleatorio,5,2.1999
Merge,Serial,1,5000,Aleatorio,5,0.7276
Merge,Paralelo,1,5000,Aleatorio,5,0.9403
Merge,Paralelo,2,5000,Aleatorio,5,2.2789
Merge,Paralelo,4,5000,Aleatorio,5,1.254
Merge,Paralelo,8,5000,Aleatorio,5,2.5759
Bubble,Serial,1,5000,Ordenado,1,6.7956
Bubble,Paralelo,1,5000,Ordenado,1,9.34
Bubble,Paralelo,2,5000,Ordenado,1,1.88
Bubble,Paralelo,4,5000,Ordenado,1,1.2361
Bubble,Paralelo,8,5000,Ordenado,1,1.1926
Selection,Serial,1,5000,Ordenado,1,8.9936
Selection,Paralelo,1,5000,Ordenado,1,7.7661
Selection,Paralelo,2,5000,Ordenado,1,2.7505
Selection,Paralelo,4,5000,Ordenado,1,1.6338
Selection,Paralelo,8,5000,Ordenado,1,4.5371
Insertion,Serial,1,5000,Ordenado,1,0.0124
Insertion,Paralelo,1,5000,Ordenado,1,0.3906
Insertion,Paralelo,2,5000,Ordenado,1,0.395
Insertion,Paralelo,4,5000,Ordenado,1,0.6542
Insertion,Paralelo,8,5000,Ordenado,1,1.1673
Merge,Serial,1,5000,Ordenado,1,0.3645
Merge,Paralelo,1,5000,Ordenado,1,0.6964
Merge,Paralelo,2,5000,Ordenado,1,0.5794
Merge,Paralelo,4,5000,Ordenado,1,0.6709
Merge,Paralelo,8,5000,Ordenado,1,0.9934
Bubble,Serial,1,5000,Ordenado,2,9.8619
Bubble,Paralelo,1,5000,Ordenado,2,8.0627
Bubble,Paralelo,2,5000,Ordenado,2,3.7046
Bubble,Paralelo,4,5000,Ordenado,2,2.5446
Bubble,Paralelo,8,5000,Ordenado,2,1.1738
Selection,Serial,1,5000,Ordenado,2,5.7873
Selection,Paralelo,1,5000,Ordenado,2,8.7475
Selection,Paralelo,2,5000,Ordenado,2,3.298
Selection,Paralelo,4,5000,Ordenado,2,1.6157
Selection,Paralelo,8,5000,Ordenado,2,1.2061
Insertion,Serial,1,5000,Ordenado,2,0.0084
Insertion,Paralelo,1,5000,Ordenado,2,0.4355
Insertion,Paralelo,2,5000,Ordenado,2,0.3718
Insertion,Paralelo,4,5000,Ordenado,2,2.8206
Insertion,Paralelo,8,5000,Ordenado,2,1.8796
Merge,Serial,1,5000,Ordenado,2,0.3983
Merge,Paralelo,1,5000,Ordenado,2,0.6454
Merge,Paralelo,2,5000,Ordenado,2,0.5788
Merge,Paralelo,4,5000,Ordenado,2,0.6521
Merge,Paralelo,8,5000,Ordenado,2,1.3035
Bubble,Serial,1,5000,Ordenado,3,6.7605
Bubble,Paralelo,1,5000,Ordenado,3,10.269
Bubble,Paralelo,2,5000,Ordenado,3,2.1962
Bubble,Paralelo,4,5000,Ordenado,3,1.1143
Bubble,Paralelo,8,5000,Ordenado,3,1.1732
Selection,Serial,1,5000,Ordenado,3,9.2069
Selection,Paralelo,1,5000,Ordenado,3,7.47
Selection,Paralelo,2,5000,Ordenado,3,21.6587
Selection,Paralelo,4,5000,Ordenado,3,1.9687
Selection,Paralelo,8,5000,Ordenado,3,2.2055
Insertion,Serial,1,5000,Ordenado,3,0.0122
Insertion,Paralelo,1,5000,Ordenado,3,0.3458
Insertion,Paralelo,2,5000,Ordenado,3,0.5487
